Activity A,Start,End,Activity B,Start,End,Type of dependency,Dependency status,Comment,Issue target date,Solution found
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.1.2.5 Continuous management and coordination of the tasks activities,11/1/2023,10/31/2027,Finish to Finish (FtF),No problem,As a start we will need the help of the management committee to test the efficacy of the communication plan,,
A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,A.3.4.2 Set the specifications of the inter-university digital campus,5/1/2024,1/1/2025,Finish to Finish (FtF),No problem,"Need of an interactive stakeholders map with filters, stakholders cards, geolocalization, etc.",,
A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,A.2.1.6 Connect students’ organisations and initiatives,10/1/2024,10/31/2027,Finish to Start (FtS),No problem,Students' needs and motivations are included in the map.,,
A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,A.4.1.1 Chart the cartography of the smart specialization strategies and ecosystems,11/1/2023,10/31/2024,Requires,No problem,Public and private stakeholders needs and motivations are included in the map.,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.5.5.3 Participate and organize inter-alliance events,11/1/2024,10/31/2027,Finish to Start (FtS),No problem,Other alliances´s needs and motivations of other partnerships are included in the map,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.2.1.2 Promote student and staff well-being,10/1/2024,10/31/2027,Requires,No problem,The issue should be taken into account in the Communication Plan.,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.2.1.3 Promote inclusion and gender equity,10/1/2024,10/31/2027,Requires,No problem,The issue should be taken into account in the Communication Plan.,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.2.5.3 Set up UNITA prizes and contests on European Citizenship,4/1/2024,10/31/2027,Requires,No problem,The issue should be taken into account in the Communication Plan.,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.2.5.5 Promote a sense of belonging to European communities and inclusiveness,11/1/2023,10/31/2027,Requires,No problem,The issue should be taken into account in the Communication Plan.,,
A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,A.3.3.4 Launch yearly calls on Innovation in Learning & Teaching,1/1/2024,10/31/2027,Requires,No problem,The issue should be taken into account in the Communication Plan.,,
A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,,#N/A,#N/A,,,,,
A.5.5.2.1 Geminae conference Zaragoza (ACTION 6.1),3/1/2025,9/31/2025,A.5.1.5 Contribute to increasing the sense of belonging to UNITA of our university communities,10/1/2024,10/31/2027,Start to Start (StS),No problem,increasing the sense of belonging to UNITA is importan to foster project with out geminae partnerts and requires an effort ,,
A.5.5.2.2 Best practices awards (ACTION 6.2),12/1/2024,9/1/2025,,#N/A,#N/A,,,,,
A.5.5.2.3 Apply for KA171 (ACTION 7),12/1/2024,2/25/2024,,#N/A,#N/A,,,,,
A.5.5.2.4 Define criteria for membership to GEMINAE (ACTION 6.3),12/1/2024,2/28/2025,,#N/A,#N/A,,,stongly connected with GEMINAE extension and GEMINAE activity monitoring,,
A.5.5.2.5 Articulate mobilities of students and staff of the KA 171 obtained in 2024 (Actions 8 and 9),11/1/2024,9/1/2025,A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,Finish to Start (FtS),No problem,Analyze if common criteria for financial methodology could be applyed to the Geminae network,,
A.5.5.2.6 Coordination with TT2.4 for viretual mobility  (ACTION 6.4),11/1/2024,10/1/2025,A.2.4.2 Encourage and facilitate mobility,12/1/2023,10/31/2026,Start to Start (StS),Slowing,"As coordinating virtual mobility has its own difficulties, these are also present when enlarging it to the Geminae Network. But there is cooperation among tasks already solving the problesm",,
A.5.5.2.7 Coordination with TT5.1 for updating the multilingual presentation of GEMINAE network  (ACTION 6.3),1/1/2025,2/28/2025,A.5.1.3 Update the UNITA Communication Plan,2/1/2024,8/31/2024,Start to Start (StS),Slowing,weak dependence,,
A.5.5.2.8 Evaluate whether the Matching Events on research can be open to GEMINAE Researchers- establish a coordination with T2.3 and WP4 (T4.2),1/25/2025,2/28/2025,A.2.3.2 Implement Task-focused open actions for community building,2/1/2024,4/30/2025,Start to Start (StS),No problem,,,
A5.5.2.9 Visits to Geminae partners in order to promote UNITA and all its member universities (Actions 8 and 9),1/25/2025,10/31/2025,,#N/A,#N/A,,,,,
A5.5.2.10 Geminae network extension,3/1/2025,10/1/2025,A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,Finish to Start (FtS),Slowing,"extension must conform the criteria, stongly connected with GEMINAE activity monitoring  (A.5.5.4.3)",,
A.5.5.3 Participate and organize inter-alliance events,#REF!,#REF!,,#N/A,#N/A,,,,,
"A.5.5.3.1 Participate in conferences oriented towards supporting European Universities Alliances (eg. Compass conference, side-events to the EAIE) (ACTION 1)",11/1/2024,10/31/2025,A.5.1.4 Implement and test the Communication Plan,1/2/2024,10/31/2027,Finish to Finish (FtF),No problem, dependencies related to communication strategy to ensure high visibility of the activities carried out in the project,,
"A.5.5.3.2 EAIE, NAFSA or APAIE sessions and poster alone, with Geminae Partners and with other possible stakeholders (MAYBE 6.4- ACTION 2), ",11/1/2024,9/1/2025,A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,Finish to Start (FtS),Slowing,need of a clear model of financing activities outside the UNITA budget,,
A.5.5.3.3 FOREU4All (ACTION 3),,,A.2.1.5 Facilitate organisational innovation through intra-entrepreneurship and management development,11/1/2023,10/31/2027,Start to Start (StS),No problem,define the role of T.T in Foreu4all project,,
A.5.5.3.4 coordination with TT2.2 INTERCOMPREHENSION ( ACTION 10-14) ,12/31/2024,10/31/2025,"A.2.2.3 Create a network of UNITA language centres, including GEMINAE partners",12/31/2024,10/31/2027,Start to Start (StS),No problem,coordinate actions with the T.T for the offer to reach Geminae partners,,
A.5.5.3.5 Elaborate a “Do’s and Dont’s Guide” for events and mobility to be disseminated between students and academic staff,11/1/2024,6/1/2025,A.5.3.2 Design the UNITA Green Sustainability Action Plan,1/12/2024,6/30/2025,Finish to Finish (FtF),No problem," Dependecies related to expertise, information sharing and timing",,
A.5.5.4 Collect and assess feedback from target groups and end-users,#REF!,#REF!,,#N/A,#N/A,,,,,
A.5.5.4.1 Coordination with TT5.4 for impact analysis,#N/A,#N/A,A.5.4.3 Implement and test first series of impact measurement,10/1/2024,10/31/2025,Start to Start (StS),No problem,,,
A.5.5.4.2 Define target groups and end-users,#N/A,#N/A,A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,Finish to Start (FtS),No problem,The geminae conference will be of special interest to analyze Geminae partners opinions.,,
A.5.5.4.3 collect feedback from all the GEMINAE partners (ACTION 6.3),#N/A,#N/A,A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,Finish to Start (FtS),No problem,The geminae conference will be of special interest to analyze Geminae partners opinions.,,
