Activity A,Start,End,Activity B,Start,End,Type of dependency,Dependency status,Comment,Issue target date,Solution found
A.2.2.4 Define and adopt a UNITA Language Policy,2024-11-01 00:00:00,2027-10-31 00:00:00,A.1.1.4 Coordinate the development of the UNITA model for a European University,2024-10-01 00:00:00,2027-10-31 00:00:00,Finish to Finish (FtF),No problem,A European university must include an adequate development of its languages.,,
A.2.2.4 Define and adopt a UNITA Language Policy,2024-11-01 00:00:00,2027-10-31 00:00:00,A.2.5.5 Promote a sense of belonging to European communities and inclusiveness,2023-11-01 00:00:00,2027-10-31 00:00:00,Finish to Finish (FtF),Slowing,Managing inclusion in Europe involves the use of their own languages and their use should be harmonized.,,
A.2.2.4 Define and adopt a UNITA Language Policy,2024-11-01 00:00:00,2027-10-31 00:00:00,A.5.1.5 Contribute to increasing the sense of belonging to UNITA of our university communities,2024-10-01 00:00:00,2027-10-31 00:00:00,Start to Start (StS),Slowing,"One of the aspects that contributes to the sense of belonging is the use of the own languages, that must be armonized throug a policy.",,
A.2.2.5 Produce microcredentials/modules with inclusion of “how-to pills”,2024-10-01 00:00:00,2027-10-31 00:00:00,A.3.2.1 Define the UNITA strategy for Lifelong Learning,2023-11-01 00:00:00,2024-04-30 00:00:00,Start to Start (StS),Slowing,MrCr are part of the life-long learning.,,
A.2.2.5 Produce microcredentials/modules with inclusion of “how-to pills”,2024-10-01 00:00:00,2027-10-31 00:00:00,A.2.1.4 Foster staff training and career development,2024-10-01 00:00:00,2027-10-31 00:00:00,Start to Start (StS),Slowing,"MrCr must be done not only by students, but for administrative staff and teacher, what contributes to their career development.",,
A.2.2.5 Produce microcredentials/modules with inclusion of “how-to pills”,2024-10-01 00:00:00,2027-10-31 00:00:00,A.3.2.4 Set up the catalogue of UNITA labelled micro-credentials,2024-10-01 00:00:00,2027-10-31 00:00:00,Finish to Finish (FtF),Slowing,MrCr in romance languages are part of the MrCr UNITA catalogue.,,
A.2.1.4 Foster staff training and career development,2024-10-01 00:00:00,2027-10-31 00:00:00,A.3.3.3 Implement and test the UNITA teacher training,2024-10-01 00:00:00,2027-08-31 00:00:00,Finish to Finish (FtF),No problem,include leadership training for academic and administrative staff,,
A.2.1.4 Foster staff training and career development,2024-10-01 00:00:00,2027-10-31 00:00:00,A.3.2.3 Develop new microcredentials meeting emerging needs,2024-10-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Define microcredentials for leadership training,,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.2.1.2 Promote student and staff well-being,2024-10-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Need of thematics and dates for ME on well-being (T2.1),,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.2.1.3 Promote inclusion and gender equity,2024-10-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Need of thematics and dates for ME on inclusion and gender equity (T2.1),,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.2.1.4 Foster staff training and career development,2024-10-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Need of thematics and dates for ME on staff training and career development (T2.1),,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.2.1.5 Facilitate organisational innovation through intra-entrepreneurship and management development,2024-10-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Need of thematics and dates for ME on intra-entrepreneurship and management development (T2.1),,
A.5.2.3 Set up and run the UNITA Project Engine Office,2024-09-01 00:00:00,2027-10-31 00:00:00,A.2.3.4 Implement advanced projects,2026-04-01 00:00:00,2027-04-30 00:00:00,Requires,No problem,"Task 5.2, in cooperation with the legal entity, will look closely at the projects and identify calls from which additional funding can be obtained to fully develop the ideas of the group",,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.4.1.3 Build an industry-driven and challenge-based teaching and learning network,2024-10-01 00:00:00,2027-10-31 00:00:00,Finish to Finish (FtF),No problem,Need of thematics and dates for ME on innovation involving associared partners (T4.1),,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.3.1.4 Develop and promote a UNITA label for shared study programmes,2024-03-01 00:00:00,2024-09-30 00:00:00,Requires,No problem,Need of thematics and dates for ME on Education (T3.1),,
A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,A.3.1.4 Develop and promote a UNITA label for shared study programmes,2024-03-01 00:00:00,2024-09-30 00:00:00,Requires,No problem,Need of thematics and dates for ME on LIfelong learning (T3.2),,
A.2.3.4 Implement advanced projects,2026-04-01 00:00:00,2027-04-30 00:00:00,A.4.2.1 Evolve and update the researchers cartography,2023-11-01 00:00:00,2024-06-30 00:00:00,Finish to Finish (FtF),No problem,The researchers cartography cannot be closed unitl all the advanced projects have been implemented,,
